,id_jugador,id_pais_jugador,id_pais_contra,fecha_partido,posicion,minutos_jugados
959,,,,,,90
960,,,,,,90
961,,,,,,90
962,,,,,,90
963,,,,,,90
964,,,,,,90
965,,,,,,27
966,,,,,,90
967,,,,,,59
968,,,,,,90
969,,,,,,90
970,,,,,,77
971,,,,,,90
972,,,,,,90
973,,,,,,46
974,,,,,,90
975,,,,,,90
976,,,,,,90
977,,,,,,90
978,,,,,,65
979,,,,,,90
980,,,,,,1
981,,,,,,28
982,,,,,,45
983,,,,,,17
984,,,,,,7
985,,,,,,48
986,,,,,,90
987,,,,,,45
988,,,,,,45
989,,,,,,74
990,,,,,,45
991,,,,,,5
992,,,,,,42
993,,,,,,45
994,,,,,,45
995,,,,,,15
996,,,,,,45
997,,,,,,1
998,,,,,,45
999,,,,,,90
1000,,,,,,45
1001,,,,,,90
1002,,,,,,27
1003,,,,,,19
1004,,,,,,90
1005,,,,,,63
1006,,,,,,90
1007,,,,,,90
1008,,,,,,90
1009,,,,,,90
1010,,,,,,90
1011,,,,,,79
1012,,,,,,45
1013,,,,,,90
1014,,,,,,26
1015,,,,,,72
1016,,,,,,45
1017,,,,,,1
1018,,,,,,59
1019,,,,,,20
1020,,,,,,81
1021,,,,,,17
1022,,,,,,90
1023,,,,,,20
1024,,,,,,90
1025,,,,,,19
1026,,,,,,26
1027,,,,,,13
1028,,,,,,16
1029,,,,,,17
1030,,,,,,6
1031,,,,,,45
1032,,,,,,61
1033,,,,,,63
1034,,,,,,45
1035,,,,,,90
1036,,,,,,90
1037,,,,,,90
1038,,,,,,90
1039,,,,,,90
1040,,,,,,90
1041,,,,,,90
1042,,,,,,1
1043,,,,,,9
1044,,,,,,19
1045,,,,,,90
1046,,,,,,8
1047,,,,,,90
1048,,,,,,26
1049,,,,,,45
1050,,,,,,45
1051,,,,,,1
1052,,,,,,12
1053,,,,,,13
1054,,,,,,16
1055,,,,,,1
1056,,,,,,9
1057,,,,,,13
1058,,,,,,15
1059,,,,,,26
1060,,,,,,90
1061,,,,,,90
1062,,,,,,90
1063,,,,,,90
1064,,,,,,90
1065,,,,,,90
1066,,,,,,90
1067,,,,,,90
1068,,,,,,90
1069,,,,,,11
1070,,,,,,90
1071,,,,,,20
1072,,,,,,54
1073,,,,,,15
1074,,,,,,27
1075,,,,,,45
1076,,,,,,28
1077,,,,,,84
1078,,,,,,90
1079,,,,,,21
1080,,,,,,9
1081,,,,,,90
1082,,,,,,90
1083,,,,,,82
1084,,,,,,90
1085,,,,,,45
1086,,,,,,45
1087,,,,,,90
1088,,,,,,83
1089,,,,,,86
1090,,,,,,90
1091,,,,,,10
1092,,,,,,90
1093,,,,,,28
1094,,,,,,45
1095,,,,,,45
1096,,,,,,90
1097,,,,,,19
1098,,,,,,90
1099,,,,,,63
1100,,,,,,26
1101,,,,,,36
1102,,,,,,10
1103,,,,,,50
1104,,,,,,90
1105,,,,,,45
1106,,,,,,90
1107,,,,,,17
1108,,,,,,30
1109,,,,,,90
1110,,,,,,69
1111,,,,,,30
1112,,,,,,90
1113,,,,,,90
1114,,,,,,9
1115,,,,,,45
1116,,,,,,20
1117,,,,,,90
1118,,,,,,1
1119,,,,,,11
1120,,,,,,75
1121,,,,,,1
1122,,,,,,45
1123,,,,,,90
1124,,,,,,13
1125,,,,,,90
1126,,,,,,90
1127,,,,,,90
1128,,,,,,90
1129,,,,,,90
1130,,,,,,90
1131,,,,,,85
1132,,,,,,77
1133,,,,,,90
1134,,,,,,90
1135,,,,,,27
1136,,,,,,88
1137,,,,,,90
1138,,,,,,69
1139,,,,,,90
1140,,,,,,89
1141,,,,,,45
1142,,,,,,70
1143,,,,,,31
1144,,,,,,7
1145,,,,,,78
1146,,,,,,79
1147,,,,,,90
1148,,,,,,90
1149,,,,,,3
1150,,,,,,63
1151,,,,,,11
1152,,,,,,45
1153,,,,,,4
1154,,,,,,45
1155,,,,,,57
1156,,,,,,90
1157,,,,,,90
1158,,,,,,90
1159,,,,,,90
1160,,,,,,90
1161,,,,,,90
1162,,,,,,90
1163,,,,,,21
1164,,,,,,90
1165,,,,,,15
1166,,,,,,1
1167,,,,,,90
1168,,,,,,45
1169,,,,,,77
1170,,,,,,90
1171,,,,,,11
1172,,,,,,90
1173,,,,,,90
1174,,,,,,65
1175,,,,,,45
1176,,,,,,34
1177,,,,,,58
1178,,,,,,45
1179,,,,,,28
1180,,,,,,59
1181,,,,,,28
1182,,,,,,90
1183,,,,,,45
1184,,,,,,90
1185,,,,,,90
1186,,,,,,32
1187,,,,,,90
1188,,,,,,90
1189,,,,,,90
1190,,,,,,90
1191,,,,,,90
1192,,,,,,45
1193,,,,,,29
1194,,,,,,45
1195,,,,,,76
1196,,,,,,90
1197,,,,,,90
1198,,,,,,82
1199,,,,,,17
1200,,,,,,16
1201,,,,,,18
1202,,,,,,12
1203,,,,,,21
1204,,,,,,74
1205,,,,,,18
1206,,,,,,90
1207,,,,,,26
1208,,,,,,10
1209,,,,,,90
1210,,,,,,90
1211,,,,,,14
1212,,,,,,26
1213,,,,,,90
1214,,,,,,90
1215,,,,,,28
1216,,,,,,17
1217,,,,,,90
1218,,,,,,45
1219,,,,,,90
1220,,,,,,90
1221,,,,,,90
1222,,,,,,83
1223,,,,,,2
1224,,,,,,90
1225,,,,,,90
1226,,,,,,90
1227,,,,,,30
1228,,,,,,90
1229,,,,,,90
1230,,,,,,70
1231,,,,,,71
1232,,,,,,32
1233,,,,,,73
1234,,,,,,90
1235,,,,,,90
1236,,,,,,90
1237,,,,,,90
1238,,,,,,90
1239,,,,,,81
1240,,,,,,90
1241,,,,,,90
1242,,,,,,55
1243,,,,,,90
1244,,,,,,90
1245,,,,,,28
1246,,,,,,60
1247,,,,,,7
1248,,,,,,85
1249,,,,,,72
1250,,,,,,34
1251,,,,,,90
1252,,,,,,83
1253,,,,,,90
1254,,,,,,68
1255,,,,,,80
1256,,,,,,71
1257,,,,,,90
1258,,,,,,23
1259,,,,,,90
1260,,,,,,90
1261,,,,,,78
1262,,,,,,90
1263,,,,,,63
1264,,,,,,69
1265,,,,,,20
1266,,,,,,81
1267,,,,,,77
1268,,,,,,45
1269,,,,,,87
1270,,,,,,67
1271,,,,,,72
1272,,,,,,21
1273,,,,,,23
1274,,,,,,25
1275,,,,,,15
1276,,,,,,90
1277,,,,,,22
1278,,,,,,90
1279,,,,,,45
1280,,,,,,70
1281,,,,,,26
1282,,,,,,61
1283,,,,,,26
1284,,,,,,66
1285,,,,,,21
1286,,,,,,21
1287,,,,,,20
1288,,,,,,27
1289,,,,,,9
1290,,,,,,34
1291,,,,,,1
1292,,,,,,70
1293,,,,,,29
1294,,,,,,8
1295,,,,,,46
1296,,,,,,57
1297,,,,,,24
1298,,,,,,90
1299,,,,,,62
1300,,,,,,90
1301,,,,,,90
1302,,,,,,90
1303,,,,,,90
1304,,,,,,90
1305,,,,,,90
1306,,,,,,90
1307,,,,,,82
1308,,,,,,12
1309,,,,,,45
1310,,,,,,86
1311,,,,,,71
1312,,,,,,62
1313,,,,,,31
1314,,,,,,87
1315,,,,,,77
1316,,,,,,80
1317,,,,,,68
1318,,,,,,90
1319,,,,,,24
1320,,,,,,90
1321,,,,,,6
1322,,,,,,65
1323,,,,,,25
1324,,,,,,4
1325,,,,,,24
1326,,,,,,65
1327,,,,,,4
1328,,,,,,15
1329,,,,,,24
1330,,,,,,90
1331,,,,,,90
1332,,,,,,90
1333,,,,,,45
1334,,,,,,90
1335,,,,,,45
1336,,,,,,7
1337,,,,,,60
1338,,,,,,90
1339,,,,,,76
1340,,,,,,30
1341,,,,,,7
1342,,,,,,67
1343,,,,,,15
1344,,,,,,90
1345,,,,,,90
1346,,,,,,89
1347,,,,,,25
1348,,,,,,36
1349,,,,,,36
1350,,,,,,30
1351,,,,,,90
1352,,,,,,90
1353,,,,,,90
1354,,,,,,90
1355,,,,,,90
1356,,,,,,45
1357,,,,,,90
1358,,,,,,90
1359,,,,,,90
1360,,,,,,26
1361,,,,,,60
1362,,,,,,45
1363,,,,,,90
1364,,,,,,65
1365,,,,,,90
1366,,,,,,90
1367,,,,,,90
1368,,,,,,90
1369,,,,,,90
1370,,,,,,90
1371,,,,,,86
1372,,,,,,90
1373,,,,,,90
1374,,,,,,90
1375,,,,,,90
1376,,,,,,90
1377,,,,,,63
1378,,,,,,57
1379,,,,,,79
1380,,,,,,90
1381,,,,,,74
1382,,,,,,72
1383,,,,,,90
1384,,,,,,90
1385,,,,,,7
1386,,,,,,15
1387,,,,,,76
1388,,,,,,45
1389,,,,,,31
