,id_tfmk,nombre,url_tfmk,nombre_tfmk,bandera,fecha_nacimiento,edad,pais,altura,posicion,pie,fecha_fichaje,id_equipo
8599,72476,Bernd Leno,/bernd-leno/profil/spieler/72476,bernd-leno,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,04/03/1992,31,Alemania,1.90,Portero,derecho,02/08/2022,931
8600,186901,Marek Rodak,/marek-rodak/profil/spieler/186901,marek-rodak,https://tmssl.akamaized.net/images/flagge/verysmall/154.png?lm=1520611569,13/12/1996,27,Eslovaquia,1.94,Portero,derecho,01/07/2019,931
8601,381469,Steven Benda,/steven-benda/profil/spieler/381469,steven-benda,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,01/10/1998,25,Alemania,1.92,Portero,derecho,30/08/2023,931
8602,272622,Issa Diop,/issa-diop/profil/spieler/272622,issa-diop,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,09/01/1997,27,Francia,1.94,Defensa central,derecho,10/08/2022,931
8603,461883,Calvin Bassey,/calvin-bassey/profil/spieler/461883,calvin-bassey,https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569,31/12/1999,24,Nigeria,1.85,Defensa central,izquierdo,28/07/2023,931
8604,258878,Tosin Adarabioyo,/tosin-adarabioyo/profil/spieler/258878,tosin-adarabioyo,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,24/09/1997,26,Inglaterra,1.96,Defensa central,derecho,05/10/2020,931
8605,145466,Tim Ream,/tim-ream/profil/spieler/145466,tim-ream,https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569,05/10/1987,36,Estados Unidos,1.86,Defensa central,izquierdo,20/08/2015,931
8606,349701,Antonee Robinson,/antonee-robinson/profil/spieler/349701,antonee-robinson,https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569,08/08/1997,26,Estados Unidos,1.83,Lateral izquierdo,izquierdo,20/08/2020,931
8607,296422,Fodé Ballo-Touré,/fode-ballo-toure/profil/spieler/296422,fode-ballo-toure,https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569,03/01/1997,27,Senegal,1.82,Lateral izquierdo,izquierdo,01/09/2023,931
8608,262226,Timothy Castagne,/timothy-castagne/profil/spieler/262226,timothy-castagne,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,05/12/1995,28,Bélgica,1.85,Lateral derecho,derecho,29/08/2023,931
8609,206746,Kenny Tete,/kenny-tete/profil/spieler/206746,kenny-tete,https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569,09/10/1995,28,Países Bajos,1.80,Lateral derecho,derecho,10/09/2020,931
8610,257455,João Palhinha,/joao-palhinha/profil/spieler/257455,joao-palhinha,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,09/07/1995,28,Portugal,1.90,Pivote,derecho,04/07/2022,931
8611,226973,Harrison Reed,/harrison-reed/profil/spieler/226973,harrison-reed,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,27/01/1995,29,Inglaterra,1.81,Mediocentro,derecho,30/08/2020,931
8612,245056,Sasa Lukic,/sasa-lukic/profil/spieler/245056,sasa-lukic,https://tmssl.akamaized.net/images/flagge/verysmall/215.png?lm=1520611569,13/08/1996,27,Serbia,1.82,Mediocentro,derecho,31/01/2023,931
8613,123275,Tom Cairney,/tom-cairney/profil/spieler/123275,tom-cairney,https://tmssl.akamaized.net/images/flagge/verysmall/190.png?lm=1520611569,20/01/1991,33,Escocia,1.85,Mediocentro,izquierdo,01/07/2015,931
8614,242631,Alex Iwobi,/alex-iwobi/profil/spieler/242631,alex-iwobi,https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569,03/05/1996,27,Nigeria,1.83,Mediocentro ofensivo,derecho,01/09/2023,931
8615,203394,Andreas Pereira,/andreas-pereira/profil/spieler/203394,andreas-pereira,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,01/01/1996,28,Brasil,1.78,Mediocentro ofensivo,derecho,11/07/2022,931
8616,186186,Bobby De Cordova-Reid,/bobby-de-cordova-reid/profil/spieler/186186,bobby-de-cordova-reid,https://tmssl.akamaized.net/images/flagge/verysmall/76.png?lm=1520611569,02/02/1993,31,Jamaica,1.70,Mediocentro ofensivo,derecho,24/01/2020,931
8617,52769,Willian,/willian/profil/spieler/52769,willian,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,09/08/1988,35,Brasil,1.75,Extremo izquierdo,derecho,01/09/2022,931
8618,279455,Harry Wilson,/harry-wilson/profil/spieler/279455,harry-wilson,https://tmssl.akamaized.net/images/flagge/verysmall/191.png?lm=1520611569,22/03/1997,26,Gales,1.73,Extremo derecho,izquierdo,24/07/2021,931
8619,204103,Adama Traoré,/adama-traore/profil/spieler/204103,adama-traore,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,25/01/1996,28,España,1.78,Extremo derecho,derecho,12/08/2023,931
8620,571743,Armando Broja,/armando-broja/profil/spieler/571743,armando-broja,https://tmssl.akamaized.net/images/flagge/verysmall/3.png?lm=1520611569,10/09/2001,22,Albania,1.91,Delantero centro,derecho,01/02/2024,931
