id_jugador,nombre,url_jugador,nombre_tfmk,fecha_nacimiento,edad,id_pais,altura,posicion,id_club_anterior,pie,fecha_fichaje,id_club,id_temporada,foto_jugador
354335,Djibril Diani,/djibril-diani/profil/spieler/354335,djibril-diani,11/02/1998,22,50,1.95,Pivote,5502,izquierdo,14/12/2018,504,2019,354335
600611,Allen Njie,/allen-njie/profil/spieler/600611,allen-njie,26/07/1999,20,95,1.85,Pivote,5502,izquierdo,01/07/2019,504,2019,600611
192640,Robin Kamber,/robin-kamber/profil/spieler/192640,robin-kamber,15/02/1996,24,148,1.87,Pivote,163,derecho,01/07/2018,504,2019,192640
9934,Veroljub Salatic,/veroljub-salatic/profil/spieler/9934,veroljub-salatic,14/11/1985,34,148,1.86,Pivote,28095,derecho,01/07/2019,504,2019,9934
332327,Ed Francis,/ed-francis/profil/spieler/332327,ed-francis,11/09/1999,20,189,1.82,Pivote,24226,izquierdo,18/02/2020,504,2019,332327
500757,Yannick Scheidegger,/yannick-scheidegger/profil/spieler/500757,yannick-scheidegger,03/05/2001,19,148,1.72,Pivote,-,izquierdo,,504,2019,500757
46017,Marko Basic,/marko-basic/profil/spieler/46017,marko-basic,25/05/1988,32,37,1.88,Mediocentro,2790,derecho,01/07/2015,504,2019,46017
237673,Nikola Gjorgjev,/nikola-gjorgjev/profil/spieler/237673,nikola-gjorgjev,22/08/1997,22,100,1.74,Interior derecho,14543,derecho,01/01/2015,504,2019,237673
303845,Nikola Sukacev,/nikola-sukacev/profil/spieler/303845,nikola-sukacev,24/02/1998,22,148,1.78,Interior derecho,5502,izquierdo,29/01/2018,504,2019,303845
404029,Mersim Asllani,/mersim-asllani/profil/spieler/404029,mersim-asllani,07/06/1999,21,244,1.78,Interior izquierdo,527,derecho,01/02/2019,504,2019,404029
390169,Petar Pusic,/petar-pusic/profil/spieler/390169,petar-pusic,25/01/1999,21,148,1.71,Mediocentro ofensivo,14543,izquierdo,01/02/2017,504,2019,390169
249983,Roberto Alves,/roberto-alves/profil/spieler/249983,roberto-alves,08/06/1997,23,148,1.80,Mediocentro ofensivo,5502,izquierdo,01/01/2018,504,2019,249983
107785,Oliver Buff,/oliver-buff/profil/spieler/107785,oliver-buff,03/08/1992,27,148,1.76,Mediocentro ofensivo,3899,derecho,15/10/2019,504,2019,107785
346892,Amel Rustemoski,/amel-rustemoski/profil/spieler/346892,amel-rustemoski,06/07/2000,19,100,1.85,Mediocentro ofensivo,5502,derecho,01/07/2019,504,2019,346892
413461,Giotto Morandi,/giotto-morandi/profil/spieler/413461,giotto-morandi,04/03/1999,21,148,1.81,Mediocentro ofensivo,5502,izquierdo,01/07/2019,504,2019,413461
500758,Randy Schneider,/randy-schneider/profil/spieler/500758,randy-schneider,27/08/2001,18,148,1.70,Mediocentro ofensivo,-,derecho,,504,2019,500758
591199,Kévin Monzialo,/kevin-monzialo/profil/spieler/591199,kevin-monzialo,28/07/2000,19,85,1.85,Extremo izquierdo,41101, ,16/08/2019,504,2019,591199
500771,Robin Kalem,/robin-kalem/profil/spieler/500771,robin-kalem,14/07/2002,17,40,1.81,Extremo derecho,14543,derecho,17/06/2020,504,2019,500771
74288,Nassim Ben Khalifa,/nassim-ben-khalifa/profil/spieler/74288,nassim-ben-khalifa,13/01/1992,28,148,1.84,Mediapunta,257,derecho,05/07/2019,504,2019,74288
66096,Mychell Chagas,/mychell-chagas/profil/spieler/66096,mychell-chagas,06/06/1989,31,26,1.83,Delantero centro,61,derecho,17/02/2020,504,2019,66096
65297,Danijel Subotic,/danijel-subotic/profil/spieler/65297,danijel-subotic,31/01/1989,31,148,1.91,Delantero centro,515,izquierdo,29/08/2019,504,2019,65297
159001,Albion Avdijaj,/albion-avdijaj/profil/spieler/159001,albion-avdijaj,12/01/1994,26,3,1.91,Delantero centro,163,derecho,01/07/2017,504,2019,159001
690246,Francis Momoh,/francis-momoh/profil/spieler/690246,francis-momoh,25/03/2001,19,124,1.87,Delantero centro,11321,derecho,01/08/2019,504,2019,690246
340538,Zé Turbo,/ze-turbo/profil/spieler/340538,ze-turbo,22/10/1996,23,60,1.88,Delantero centro,1277,izquierdo,17/02/2020,504,2019,340538
165435,Thomas Castella,/thomas-castella/profil/spieler/165435,thomas-castella,30/06/1993,27,148,1.85,Portero,23728,derecho,01/07/2012,527,2019,165435
169372,Dany Da Silva,/dany-da-silva/profil/spieler/169372,dany-da-silva,02/03/1993,27,148,1.88,Portero,322,derecho,01/07/2018,527,2019,169372
164904,Mory Diaw,/mory-diaw/profil/spieler/164904,mory-diaw,22/06/1993,27,149,1.97,Portero,30483,derecho,01/07/2019,527,2019,164904
265209,Noah Loosli,/noah-loosli/profil/spieler/265209,noah-loosli,23/01/1997,23,148,1.86,Defensa central,504,derecho,08/02/2018,527,2019,265209
41869,Per-Egil Flo,/per-egil-flo/profil/spieler/41869,per-egil-flo,18/01/1989,31,125,1.84,Defensa central,62,izquierdo,17/07/2018,527,2019,41869
122722,Elton Monteiro,/elton-monteiro/profil/spieler/122722,elton-monteiro,22/02/1994,26,136,1.92,Defensa central,2282,derecho,02/02/2015,527,2019,122722
463744,Mickaël Nanizayamo,/mickael-nanizayamo/profil/spieler/463744,mickael-nanizayamo,08/05/1998,22,50,1.91,Defensa central,3161,izquierdo,01/07/2018,527,2019,463744
129642,Nicolas Gétaz,/nicolas-getaz/profil/spieler/129642,nicolas-getaz,11/06/1991,29,148,1.82,Lateral izquierdo,12424,izquierdo,01/07/2015,527,2019,129642
